name,reviews,ratings
The 40-Year-Old Virgin,"A redemption comedy about a 40 year old virgin, who basically gets terrible advice from people who mean well but probably shouldn't have injected themselves into his love life (or lack of rather). Some really funny scenes and a sweet ending that shows the rebirth of this man. The comedy is centered around his coworkers advice to try to lead him into his first physical relationship. A funny and original movie which is surprisingly rare in modern comedy",5.0
The 40-Year-Old Virgin,"A comedic submersion with Steve Carell at its heart. For such a clear-cut narrative, this film delivers. You are heavily invested in the fortunes of Andy's story and you're really rooting for the guy. Not much else to say, but if you're looking to have a fun time, this is a great film.",4.5
The 40-Year-Old Virgin,"Bit on the long side for such a formulaic film, but its heart is in the right place. Some good jokes, but a lot of 'cursing is funny, right?' too. Andy's got an unrealistic amount of game for a khv though.",3.0
The 40-Year-Old Virgin,"Steve Carrell, Seth Rogen y Paul Rudd son posiblemente los 3 artistas que mejor plantean el humor negro en su contenido, ya sea Steve Carrell en ‘The Office', Seth Rogen en ‘This is the End' (Una película que siento que toma muchas cosas prestadas de esta) y un Paul Rudd que aunque sea más calmado que ellos 2 también ha regalado joyas cómo ‘Un Par Nada Ejemplar', pero me parece que todos supieron explotar ese humor tan rebelde gracias a la adicción de Judd Apatow tanto en la dirección cómo en el guion; un director de inicios de siglo con un humor tan distinguido de esta época que me parece que hasta hoy sigue inspirando proyectos, con películas como ‘Hazme Reír' de 2007 o con un Cine más complejo cómo ‘El Arte de Ser Adulto' del recién 2020; estas 4 personas sabían lo que querían plantear en esta película.

Virgen a los 40 en la superficialidad podrá ser una película visualmente y verbalmente explicita, pero me parece que en su interior plantea una historia que habla de la aceptación de uno mismo en una sociedad que de cierta manera te obliga a cambiar para pertenecer a cierto grupo o para juntarte con ciertas personas; pero a la vez cimentando una dualidad dónde si te encierras en tu caparazón también te pierdes de cosas de la vida que realmente valen la pena. Vistas desde el POV de Andy, que en su evolución de personaje de manera muy literal se enfrenta a esto, el se propone a experimentar cosas nuevas porque realmente lo necesita, el primer acto de la película te plantea lo monótona que es su vida, para en un 2 y 3 acto también plantear que el dejar de ser tú mismo para ""encajar"" es quedarte sin identidad. Algo de lo que Andy se da cuenta en la parte climática de la cinta, en la que entiende que el cambio no siempre es malo, pero sin traicionar al antiguo yo, entendiendo que la clave está en aceptarse uno mismo y que tan simple como suena las demás personas también te aceptarán, cómo los amigos del trabajo de Andy que por suerte o como sea terminaron saliendo con él para darse cuenta que es una persona que realmente vale la pena y que es más del estereotípico adulto que a sus 40 sigue coleccionando figuras  y lo mismo pasa con Trish, se da cuenta que Andy es feliz como es, y que no necesita ""madurar"" para lograrse cómo persona, no necesita renunciar a lo que realmente le llena como podría ser algo tan superficial cómo sus figuras o algo más personal cómo es su trabajo. Y para mi es lo que hace a esta película diferente detrás de la comedia plantea una historia que realmente vale la pena ser oída también. Andy es un personaje que al tener tantas dudas y e inseguridades no se da cuenta de que es una gran persona. Sin darse cuenta que no se le dificulta hacer amigos, lo mismo en conseguir citas, el realmente es más interesante de lo que cree. Pero muchas veces ese bloqueo existencial de nosotros mismos no nos deja ver quiénes somos realmente.

La dirección realmente es muy básica, aunque me parece que involuntariamente esta simpleza visual se convirtió en una carta de amor a los inicios de los 2000. Aunque la película más de una vez tenga cortes extraños que rompen la continuidad de la trama. Aunque al final siento que es lo que le da corazón a esta narrativa. Esta película cumple su objetivo de contar una historia simplista que no es aburrida.

Virgen a los 40 logra contar una historia de un humor negro increíble con un sub diálogo con una historia más personal.",3.0
The 40-Year-Old Virgin,"This is the kind of movie you watch on the hotel tv when there is nothing else to watch. They hired just about every actor you've seen before and it just feels ""familiar."" Very average-core.",3.5
The 40-Year-Old Virgin,Surprisingly heartfelt and often funny.,3.5
The 40-Year-Old Virgin,"With what many consider to be Judd Apatow's magnum opus, he delivers with this raunchy comedy starring Steve Carrell, with his usual combination of raunchy comedy and mature subject matter, led sympathetically by Steve Carrell.",3.5
The 40-Year-Old Virgin,"I have a bawdy sense of humor. I've seen this movie about 50 times and some scenes still make laugh. I loved this movie. It was sooooo funny. If you're really offended by sex jokes and innuendo, this movie may not be for you.",5.0
The 40-Year-Old Virgin,"This is a very funny film about what's in the title. But it's also about the comradery of coworkers, the pleasures of spending time alone, the joys of bicycling to work, and a lot of other things.",3.5
The 40-Year-Old Virgin,"Delivers a well-put message that doesn't really lay out across the whole film, but wonders in the gags, yet fails to explore the full potential. Some moments only play against the integrity of the film, and many aspects could've been made better",3.5
The 40-Year-Old Virgin,Funny and entertaining. Carell and Rudd are excellent.,4.0
The 40-Year-Old Virgin,"Pretty funny and a good set of characters with a nice story, they do a good job of utilizing every character and giving them all funny mini-arcs. Overall its good",3.5
The 40-Year-Old Virgin,"It had been many years since I last saw this raunchy comedy, with more heart to the story than most from that era, and the cast has seemed to grow even more robust in the interim.

This may not have aged as well for some but I found myself still laughing more than a few times at many of the comedic performances and sophomoric humor. Steve Carrell is perfectly cast in the titular role and the supporting roles feature too many familiar faces putting in excellent work to list them all.

And this still has to rank as one of the greatest end credit scenes of all time... #LetTheSunShine",4.0
Abbott and Costello Meet Frankenstein,"Abbot and Costello Meet Frankenstein is an amazing movie. I finished it just now so it is fresh in my head. Abbot and Costello Meet Frankenstein was a really funny movie, and guess what? I LOVE comedy!!! I think that this movie was one of the first crossover movies ever. Abbot and Costello Meet Frankenstein was also a really interesting movie. I just watched Dracula, and the same Dracula actor was in the movie. He looked much much older than he did in 1931. What a good movie. I give this a 74%.",4.0
Abbott and Costello Meet Frankenstein,It was so bad that it was funny.,4.5
Abbott and Costello Meet Frankenstein,One of the best horror-comedy of all time is really fun and outrageously very funny and fun to see your favorite loveable Universal Monsters.,5.0
Abbott and Costello Meet Frankenstein,"How fun it is to see these older movies on the big screen. The physical humor and the subtleties come through strongly. And while in some A&C movies, Abbott is really mean to Costello, here the monsters take up so much of the action that the boys are more of a team. This is a great one to see with the whole family. One of A&C's movies that holds up best.",4.0
Abbott and Costello Meet Frankenstein,Still one of the best!,5.0
Abbott and Costello Meet Frankenstein,"At times it's hilarious and funny, like the final showdown between the legendary monsters, Dracula vs The Wolf Man and so on, which is genuinely funny to observe, as Dracula tries to fight off The Wolf Man all the while Frankenstein is chasing all of them around, and the idea itself is quite fresh and interesting, which is used and abused to this day; but in many parts the acting and jokes are naive and too simplistic.",3.5
Abbott and Costello Meet Frankenstein,"Expert way to breathe some new life into the old Montsers. Some horror fans, who take things too seriously might be annoyed that this is taking the piss with these classic characters, but seriously, this is the most entertaining they've been in quite a few entries. Plus it's awesome seeing Lugosi back in the Dracula role one more time.",4.0
Abbott and Costello Meet Frankenstein,What's there to say? It's a classic. See it.,5.0
Abbott and Costello Meet Frankenstein,"Probably the best of the latter Universal films. In black and white the comedy was funnier, in black and white the horror was scarier. All involved are great. Always loved Lon Chany Jr. As the wolfman. He's fantastic. The horror is played straight. But the comedy is still funny. That's the way I like it.",4.0
Abbott and Costello Meet Frankenstein,"Classic monsters & classic comedy, in one movie? Yes!! And don't listen to any rubbish reviews that tell you the monsters have been reduced to buffoonery. Abbott & Costello are at their best, & so are the monsters! What more can one ask for!",5.0
Abbott and Costello Meet Frankenstein,"Dracula's on first, Frankie's on second, and the Wolf Man? Third base!",3.5
Abbott and Costello Meet Frankenstein,"It's a perfectly constructed horror-comedy movie...a combination of the Universal monsters world and the best comedy duo of the 40s and 50s.  Stay tuned to the very last scene to check the box of all monsters to appear in the movie.  And you have Bela Lugosi and Lon Chaney Jr., and listen for a cameo of Vincent Price!",5.0
Abbott and Costello Meet Frankenstein,My favorite of their films.,4.0
Abbott and Costello Meet Frankenstein,Classic Abbott and Costello. The second and final appearance of Lugosi as Dracula. Decent B-movie. Disregards where these characters are at the end of House of Dracula.,3.0
Abbott and Costello Meet Frankenstein,"Though a very funny film, it would be nice if Frankenstein was in it a bit more.",3.0
Abbott and Costello Meet Frankenstein,"Zany is a good word, but it's fun to see all the horror characters and famous actors in one ridiculous movie.",2.5
Abbott and Costello Meet Frankenstein,It's a fun monster mash and Abbott and Costello are great as always.,3.5
Abbott and Costello Meet Frankenstein,"A classic comedic duo. Though dated in places, the timing and delivery of the jokes still bring laughs. And you can never beat Lugosi and Chaney in their iconic roles.",3.5
Abbott and Costello Meet Frankenstein,Simply one of the craziest films ever made. Who would have thought that Abbott and Costello meeting up with the Universal Monsters would be such fun? The whole movie is like a kind of early Scobby Doo episode and I love every minute of it.,5.0
Abbott and Costello Meet Frankenstein,This is the Best Abbott and Costello movie. What makes it so good is that the monsters are all played straight. Great cast. As good now as when i first saw it years ago!,5.0
Ace Ventura: Pet Detective,"Back in 1994, Jim Carrey took Hollywood by storm with three box-office hits that put the actor on the map forever. One of those movies was Ace Ventura: Pet Detective, a whodunit spoof with Carrey playing an anarchic pet detective who finds himself being forced into tackling a murder case.

The film was a big success and spawned a sequel plus an animated series. This was arguably mostly thanks to Jim Carrey's excellent physical comedy in the film (speaking through his butt and such) and the Ace Ventura character himself. The plot involves a dolphin called Snowflake, the mascot for NFL team The Miami Dolphins, being kidnapped just before The Super Bowl. The aforementioned pet detective is called in to take on the case before a murder is committed that turns out to be very much connected to the dolphin case. It becomes up to Ace Ventura to not only track down the missing animal but step on the police's toes in order to solve the killing.

Along the way, he stakes out each and every player from the NFL team, the family of a suspect, a suspicious billionaire played by Udo Kier, goes undercover in a mental institution and other shenanigans. Sean Young plays the police lieutenant who clashes with Ace Ventura throughout the movie and she is a very good sport considering what she's asked to do by the end of the film. Now, the elephant in the room here is, of course, how the movie hasn't dated particularly well when it comes to dealing with a story that involves mental illness and a character changing their gender. Indeed, the film is decidedly insensitive about these things, playing everything for laughs, which is to be expected, but it's also not handled in a particularly funny way. Ultimately, the film's climax comes off as awkward and a bit too homophobic for its own good.

In fact, there was always a tonal mismatch in this film and re-watching it really made it stand out to me. Ace Ventura is a fun character and the childish humor, in his hands, is rather charming but the film itself seems confused whether it wants to be a dark serial killer movie or a family-friendly comedy. In the end, it attempts both at the same time and the vibe is overall a bit too mean-spirited to be a laugh riot the whole way through. There are some highlights, however: the opening home delivery sequence is just perfect, the Mission: Impossible parody is a lot of fun, Carrey's Star Trek impressions, his tutu-wearing hospital antics, brutal encounter with a shark - it's good stuff. Ace Ventura's obnoxious behavior is refreshingly out there and the supporting cast is genuinely good so there's plenty to enjoy here.

The character of Ace Ventura is much better handled in the more cartoonish sequel Ace Ventura: When Nature Calls, which has a consistent tone throughout the film and, thankfully, keeps things light but, most importantly, is a lot funnier. There are laughs here, no doubt about it, and Jim Carrey alone makes it a film worth watching but the vision here is frankly unclear and a little off.

Amusing yet uneven.",3.0
Ace Ventura: Pet Detective,This movie is a pure classic,5.0
Ace Ventura: Pet Detective,I thought I was watching The Mask with same slapstick jokes.,2.5
Ace Ventura: Pet Detective,It's funny but the story is so bland.,3.0
Ace Ventura: Pet Detective,funni funni funni funni,5.0
Ace Ventura: Pet Detective,"Every review of this movie below three and a half stars is silly. This an amazing sidesplittingly funny movie, easily the best in Jim Carrey's filmography. Come on guys, grow a brain.",4.5
Ace Ventura: Pet Detective,Jim Carey gives arguably his most iconic performance.,5.0
Ace Ventura: Pet Detective,"As long as I prefer The Mask,this movie is as perfect as The Mask.
Watching this today makes me still laugh,it didn't age so bad.
Also that was an important year for Courtney Cox too between this and Friends",5.0
Ace Ventura: Pet Detective,"Horrível, nao consigo achar nem uma graça nessa filme. A ""atuação"" do Jim Carrey é tão tosca igual o filme. Nota 0/10",0.5
Ace Ventura: Pet Detective,Deeply amusing classic,4.5
Ace Ventura: Pet Detective,Good movie love it. E,5.0
Ace Ventura: Pet Detective,"LOL, the funniest 01 hour: and 26 minutes ever!!!!!!!!!!! Starring Jim Carrey, Courtney Cox Arquette, Tone Loc (who performs the movie's theme), Sean Young as the villain cop, and Dan Marino as himself!!!!!!!!!!!!!!!!!!",5.0
Ace Ventura: Pet Detective,A fun must-watch classic 😀,4.5
Ace Ventura: Pet Detective,CANNIBAL CORPSE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,3.5
Ace Ventura: Pet Detective,"It's not a genuinely interesting story, but Jim Carrey offers a fine performance here, and with his comedic flare and the setup, this could be a genuine classic. - fun enough/fresh",2.5
Ace Ventura: Pet Detective,The best comedy of the 90s,5.0
Ace Ventura: Pet Detective,Funny moments. One of Carreys best,3.0
Ace Ventura: Pet Detective,"One of the funniest movies of all time. Still to this day, every time I watch it, I can't help but laugh. One of my favorite movies of all time.",5.0
Ace Ventura: Pet Detective,"So close to being too weird, but so funny.",4.0
Ace Ventura: Pet Detective,"""Alllllllrighty then!"" is true for this movie. It is just ""alright""-y",3.0
Adam's Rib,"It was absolutely painful to watch. The screaming, fighting, violence, and threatened violence both emotional and physical was a chore to sit through. The ending was implausible but typically Hollywood. The Kip character was a nightmare.
That said, the acting was great among the secondary characters, and the Tracey-Hepburn chemistry was intense. I truly wonder what audiences experienced back in the era.",1.5
Adam's Rib,"One of the AFI top ten romantic films (somehow). A lighthearted look at a miscarriage of justice that is meant to be some kind of ribald comedy about gender prejudice but misses the target entirely. Not funny or entertaining, it nowadays feels like a drag to watch. Bought this one on DVD as not on the or streaming in the UK.",1.0
Adam's Rib,Probably the best Tracy-Hepburn film.,4.5
Adam's Rib,"This Cukor directed rom com re-teams Tracy and Hepburn with an extremely well written script, elements that together help overcome a somewhat shallow and predictable plot.

One can't help but wonder if a lot of the strength in this script about a husband and wife having their professional and home lives converge comes as a result of the writer's, Ruth Gordon and Garson Kanin, real life marriage.

Katherine Hepburn was easily my favorite to watch, in a role tackling themes that seem far less progressive over 70 years later, while sadly still easily recognizable as well.

This likely won't offer anyone a transformational experience but can still provide a satisfying watch as we witness two extremely compatible, top tier, actors working with the sort of script that only accentuates their strengths.

NYT 1000 #279",3.5
Adam's Rib,"""First of all, I should like to say at the outset that I think that the arguments advanced by the consel for the defense were sound. Mere sound.""

Any film that bases itself on gender roles is going to age a bit with time, as the social politics will naturally evolve to the point where the dynamics aren't exactly up to date; when you're going through jury selection and potential jurors unironically and confidently express that they are against equalt treatment of the sexes, it gives the viewers a bit of a pause as to just how much different the world of George Cukor is from that of today. What themes today seem obvious were likely considered preachy, overzealous, and an attack on American values by many audience members in 1949 (and if they weren't outraged by Katherine Hepburn extolling the need for gender equality, the presence of a black man on the jury probably sent them over the edge). Despite Cukor's esteem there is a noticeable bit of irregularity in the directing, with a small handful of the longer, dialogue-heavy scenes allowing a couple of flubs in line delivery. While you could nitpick parts of gender role treatment of the film until the cows come home, it's easier to appreciate a solid romcom with good chemistry between its leads and a well-constructed sense of comedy and social progressivism. 

Where do you even find a licorice gun? (3.5/5)",3.5
Adam's Rib,Classic comedy with great acting and directing,3.5
Adam's Rib,"George Cukor's Adam's Rib is a lighthearted, sophisticated comedy with a serious underlying theme.  The famous chemistry between Spencer Tracy and Katharine Hepburn fills up the screen, and the supporting cast members are wonderful, colorful and very effective.",3.5
Adam's Rib,"A light hearted and entertaining romp between two married lawyers. Again Katharine Hepburn is at her consistent best. Katharine Hepburn is beautiful, intelligent and the classiest actress ever!",3.5
Adam's Rib,"Tracy and Hepburn's best pairing! Excellent script and supporting cast, with the exception of the repulsive caricature of the Jewish court clerk, who asks, incredulously,  ""Pinky?""",5.0
Adam's Rib,"*only viewed once*

Rom-com involving two lawyers that are assigned to the same case; prosecuting and criminal defense.

Writing, directing, editing are all well done. Easy to watch and much comedic moments; I'd guess 10-20 good laughs. Length of movie is perfect. Katharine plays a semi-strong, witty feminist, while Spencer plays the angry sexist. There is no violence between the couple, which I can appreciate. 

Scenery was quite engaging between lawyer offices, accounting office, apartments, fancy dinner party, court rooms, and a countryside home.

Well played, B",3.5
Adam's Rib,Slow. Plays like a mediocre sitcom.,2.0
Adam's Rib,Solid comedy with likable leads.,3.5
Adam's Rib,"It is a GREAT MOVIE, ""Adam's Rib""(1949), that I have seen a number of times, on my TV(I recently saw this on my TV at 9:10pm(CT) Saturday March 07, 2020!)! (My comments here were done at 11:37am(CT) Sunday March 08, 2020.)",5.0
Adam's Rib,"Society begins to see that men can get away with anything, but women must fit a defined role.  Hepburn describes this double standard well in court, with its clear relevance to society in general.  This kind of tom-foolery would never be allowed in a real courtroom, but the movie gets kudos for its message.  It is one of the first ""message"" movies that try to move civilization forward.  Hepburn was a progressive and this fit into her worldview well.",4.5
Adam's Rib,"The best, GREATEST courtroom romcom movie ever made!",5.0
Adam's Rib,This film was solid.,3.5
Adam's Rib,"Like a lot of madcap, screwball comedies from the era, ""Adam's Rib's"" antics may border upon complete frustrating, but I think that -- by the ending -- you soon realize that it's kind of the point of the entire film, and that the subtle wit of real life couple/screenwriting duo Ruth Gordon & Garson Kanin is what's really powering this effort. The real-life chemistry between lead actors Spencer Tracy and Katharine Hepburn doesn't hurt either, but I think it's the inherent promise and humor built into this premise that ultimately makes this one of the more watchable screwball efforts of the 1940's.",3.0
Adam's Rib,Classic old pix. hepburn and tracy are great.,3.5
Adam's Rib,Goofy but often quite hilarious. The screenplay takes Hepburn's feminism more seriously than you'd expect.,3.5
Adam's Rib,"I quite like Spencer Tracy but Hepburn always gets on my nerves. This isn't as funny as it's made out to be. It is an early film making a stand for equality for women though, not that too much is made of this; I'm still not sure if it was intended to send a message out there or just coincidental.",2.5
"The Adventures of Priscilla, Queen of the Desert","The costumes are sensational. The plot is ok but I just don't find drag queens funny. If you find camp funny then you'll love it, if like me you find it a bit irritating, then probably not the film for you. I got this one on DVD.",3.0
"The Adventures of Priscilla, Queen of the Desert",Funny with a lot of heart. Gives a minority that has suffered a lot of prejudice a chance to tell the story. This is a really fun movie with a good vibe.,5.0
"The Adventures of Priscilla, Queen of the Desert","Ground breaking for it's time, this movie is one of the best and most important flicks to ever come out of Australia.
Led by some strong performances from it's three leads, this funny, moving movie is well worth checking out.",4.5
"The Adventures of Priscilla, Queen of the Desert","🏳️‍🌈🇦🇺 This 1994 Australian road comedy follows two drag queens and a transgender woman, as they journey across the desert in a tour bus that they have named ""Priscilla"", encountering various groups and individuals along the way and performing their unique style of cabaret. With a funny and compassionate plot pretty much ahead of its time, it is a film with a positive portrayal of LGBT themes about people trapped in a job that has become tiresome and want to enjoy life to the fullest. The performances are outstanding, I certainly never imagined Hugo Weaving, Guy Pearce and Terence Stamp in drag, and they definitely do an amazing job. Winner of an Academy Award for Best Costume Design and several BAFTA wins and noms, it is a sentimental film with a great amount of work in the technical department, including its cinematography and its soundtrack.",4.0
"The Adventures of Priscilla, Queen of the Desert",A queer masterpiece and the characters are incredibly loveable.,5.0
"The Adventures of Priscilla, Queen of the Desert","I think a straight dude might think this just isn't a movie for him, but I would argue if you aren't a dinosaur, Jurassic Park might not be right for you.  I'm not trying to compare the LGBTQ community to animals here, I'm pointing out that experiencing something unfamiliar to you can be fascinating.  I feel that way about this movie.  I grew up in the 80's, early wave of people going from hating gays to tolerance.  This movie was extremely well acted, written and directed, and let me understand a bit more about this world and I felt like that's really not a bad thing.  Developing empathy and understanding is actually growth, not bad.  To sum it up, interesting story, fantastic acting and directing, worth watching.",5.0
"The Adventures of Priscilla, Queen of the Desert","It was, as my wife said said, just a movie about drag queens, but in the process there was a touch of Australia. Not really dated, though made almost 30 years ago - and it had historic significance: ""The film was a surprise worldwide hit and its positive portrayal of LGBT individuals helped to introduce LGBT themes to a mainstream audience"". One wonders if the interior of that country, like Brazil, developed more slowly until today.",3.5
"The Adventures of Priscilla, Queen of the Desert","If ever a *5* star movie, Priscilla is just that an adventure through the outback of Australia.  American producers tried to make their version with To Wong Fu, Thanks for everything, which is a good movie too but only a *4* star movie, this movie has it all!!!!!",5.0
"The Adventures of Priscilla, Queen of the Desert","A groundbreaking LGBT film, The Adventures of Priscilla: Queen of the Desert is a thoughtful, well-acted and even funny film with some gorgeous scenery, a well-implemented ABBA soundtrack and compelling character arcs. Well done, Australia, well done.",5.0
"The Adventures of Priscilla, Queen of the Desert","I think, the characters a diverse, lovable in their ways, the storyline is consistent. There are a lot of details within the movie. A very colorfull movie, in accordance with the topic. It's off mainstream.",5.0
"The Adventures of Priscilla, Queen of the Desert","1001 movies to see before you die.  It's a shame that it was so crass, it could have had more of an impact had it been more approachable since it was more credible than the later, ""To Wong Foo"".  Regardless, it still packs a punch that left its mark on film.  It was an STG DVD.",2.0
"The Adventures of Priscilla, Queen of the Desert",Sonic I think it's weird that I don't want you to think,5.0
"The Adventures of Priscilla, Queen of the Desert","""I've said it before and I'll say it again: no more fucking ABBA.""

Not just a highly impactful film for its welcoming and outright celebratory depiction of drag queens and transsexual characters, Priscilla is both a downright hilarious and pretty damn quotable road comedy as well as a solid exploration of identity and a personal retrospective, all balled up into one delightful package. I personally grew up knowing all three members of this trio (Stamp, Weaving, and Pearce) from completely different types of material, which made the way each of them disappears into their respective characters all the more impressive and enjoyable; Stamp with his no-nonsense tone and dismissive, snappy dialogue was a particular treat. The film places the three lip syncers in a bus through the outback while mixing them together in enough of a cocktail of confrontation, inter-group drama, jokes, and personal growth to make you feel involved with the characters through the comedy and drama alike. If the film had decided to go down a more pained route with excessive pushback by the bogans or a lack of family support, it would come off as far less sincere; instead, we get sold on the entertainment and pleasantly surprised by the camraderie. 

It's tough to discuss a film so influential in establishing mainstream acceptance of LGBTQ cinema without mentioning the surprising inclusion of Cynthia, a Filipina woman who seems straight out of a particularly bad Family Guy cutaway gag. In a story that focuses on breaking down preconceptions about stigmatized groups, her opportunistic and vulgar traits seem a bit callous, yes, but I'm willing to give the creative team the benefit of the doubt and say her design was not so much intended to be harmful as it was just poorly thought-out. 

I imagine the Wachowski siblings in 1994 seeing a transgender Hugo Weaving character in a surprisingly successful Australian road comedy-drama with lines like, ""my tits are falling down,"" and turning to each other with a simultaneous ""he's perfect."" (4/5)",4.0
"The Adventures of Priscilla, Queen of the Desert","Featuring a trio of fantastic central performances, and a sensitive supporting one from Bill Hunter, Priscilla, QOTD is a frequently hilarious romp into the vast Australian Outback, exploring issues of identity, intolerance and acceptance. The dialogue feels so natural because its exactly the kind of thing you might hear from a group of friends on a road trip, slinging good-natured abuse at each other, with the occasional sharper insult thrown in here and there. I've heard it said that in the past few decades, gay people weren't written very well, at least not written like actual, 3 dimensional characters. It was simply a case that their homosexuality was the sum total of their personality, like it was the only thing that distinguished them. Here, our 3 leads are distinct characters, with heir own flaws and quirks, and their orientation and lifestyle is what unites them, rather than defines them. Our leads experience all kinds of different reactions to their lifestyle, ranging from confusion to hostility and indifference to celebration. A lesser film would just have had everybody spewing homophobia remarks towards them wherever they went, and it would have made for repetitive, depressing viewing. On a separate note, as someone who lived in Australia for close to 2 years, I was glad to see how well the film captured not only the country's staggering natural beauty, but also its unbelievable size and desolation. Overall, it's a very entertaining story filled with both warmth and humour. It's a milestone in LGBTQ+ cinema, and has an entertaining plot to go along with its important message.",4.0
"The Adventures of Priscilla, Queen of the Desert","I laughed my butt off watching this Australian Movie, they really know how to do it in the land down under!",5.0
